module_name,direct_dependents
rules_cc,769
platforms,606
bazel_skylib,561
rules_license,184
rules_python,155
protobuf,129
rules_shell,121
rules_go,93
zlib,86
googletest,77
gazelle,73
rules_java,68
bazel_features,66
bazel_lib,65
rules_proto,62
abseil-cpp,57
package_metadata,49
apple_support,48
rules_cc_autoconf,45
aspect_bazel_lib,44
rules_rust,36
openssl,35
rules_swift,33
rules_jvm_external,32
aspect_rules_js,31
eigen,29
boringssl,28
grpc,28
buildifier_prebuilt,27
re2,26
zstd,24
cmake_configure_file,23
rules_nodejs,23
rules_pkg,22
fmt,20
googleapis,18
curl,17
google_benchmark,17
nlohmann_json,17
rules_apple,17
lz4,16
aspect_tools_telemetry,15
boost.filesystem,15
libx11,15
pybind11_bazel,14
rules_proto_grpc,14
freetype,13
toolchain_utils,13
glib,12
libpng,12
rules_android,12
rules_autoconf,12
rules_foreign_cc,12
rules_gazebo,12
tinyxml2,12
boost.algorithm,11
gflags,11
gz-utils,11
rules_rs,11
bzip2,10
glog,10
rules_perl,10
sqlite3,10
ape,9
bazelrc-preset.bzl,9
boost.iostreams,9
gz-math,9
libjpeg_turbo,9
llvm,9
rules_venv,9
rules_verilog,9
rules_vhdl,9
boost.asio,8
boost.program_options,8
boost.serialization,8
boost.thread,8
gawk,8
googleapis-rules-registry,8
rapidjson,8
readline,8
rules_coreutils,8
stardoc,8
tar.bzl,8
xz,8
aspect_rules_ts,7
boost.config,7
boost.graph,7
boost.lexical_cast,7
boost.optional,7
boost.variant,7
flex,7
folly,7
googleapis-cc,7
hermetic_launcher,7
jq.bzl,7
libxml2,7
mbedtls,7
onetbb,7
rules_erlang,7
rules_m4,7
rules_nasm,7
rules_scala,7
with_cfg.bzl,7
yaml-cpp,7
asio,6
bison,6
boost.core,6
boost.format,6
boost.multiprecision,6
boost.regex,6
boost.smart_ptr,6
brotli,6
gz-common,6
harfbuzz,6
libffi,6
libxext,6
nasm,6
ncurses,6
rules_kotlin,6
rules_multitool,6
rules_webtesting,6
swift_argument_parser,6
abseil-py,5
boost.interprocess,5
boost.iterator,5
boost.math,5
boost.system,5
boost.type_traits,5
download_utils,5
egl-registry,5
fontconfig,5
gmp,5
google_bazel_common,5
grpc-java,5
libexpat,5
libtiff,5
libwebp,5
libxfixes,5
libzmq,5
m4,5
rules_bison,5
rules_cuda,5
spdlog,5
toml.bzl,5
xorgproto,5
aspect_rules_py,4
azure-core-cpp,4
bazel_worker_api,4
boost.bind,4
boost.concept_check,4
boost.container,4
boost.fusion,4
boost.intrusive,4
boost.mpl,4
boost.multi_index,4
boost.numeric_conversion,4
boost.preprocessor,4
boost.property_tree,4
boost.random,4
boost.range,4
boost.spirit,4
boost.test,4
boost.utility,4
c-ares,4
cairo,4
cgrindel_bazel_starlib,4
elfutils,4
glfw,4
googleapis-grpc-cc,4
gz-msgs,4
liburing,4
libuuid,4
